                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.4013,                 1.1914,                 1.0729,                0.40208,                0.26968,                0.27257,                0.15871,                 1.3201,                0.88124,                 1.0315,               0.070007,              0.0033326,              0.0033326
                      1,                 1.3555,                0.94878,                  1.049,                0.42556,                0.29772,                0.30324,                0.17295,                 1.2871,                0.81818,                 1.0138,               0.039941,              0.0065999,              0.0065999
                      2,                 1.3631,                0.92781,                 1.0522,                0.43689,                0.30088,                0.30636,                0.17495,                 1.2744,                0.78673,                 1.0103,              0.0098089,              0.0098013,              0.0098013
                      3,                 1.3446,                0.89587,                 1.0467,                0.56867,                0.32135,                0.33217,                 0.1924,                 1.2465,                0.74615,                0.99974,               0.009703,               0.009703,               0.009703
                      4,                 1.3151,                0.85495,                 1.0339,                0.59715,                0.33344,                0.35177,                0.20316,                 1.2294,                0.72392,                0.99051,               0.009703,               0.009703,               0.009703
                      5,                 1.2971,                0.83284,                 1.0255,                0.60549,                0.34107,                0.36087,                 0.2108,                 1.2157,                0.70805,                0.98334,               0.009604,               0.009604,               0.009604
                      6,                 1.2812,                0.81384,                 1.0192,                 0.6207,                0.34325,                 0.3737,                 0.2188,                  1.208,                0.69683,                0.97966,               0.009505,               0.009505,               0.009505
                      7,                 1.2732,                 0.8035,                 1.0156,                0.61278,                 0.3598,                0.38151,                0.22376,                 1.2013,                0.68807,                 0.9766,               0.009406,               0.009406,               0.009406
                      8,                 1.2667,                0.79674,                 1.0126,                0.63088,                0.35946,                0.38736,                0.22731,                  1.198,                0.68138,                0.97498,               0.009307,               0.009307,               0.009307
                      9,                 1.2616,                0.78913,                 1.0097,                0.64821,                0.35471,                0.39098,                0.23071,                 1.1938,                 0.6765,                 0.9726,               0.009208,               0.009208,               0.009208
                     10,                 1.2558,                 0.7822,                 1.0083,                0.64816,                0.35901,                0.39383,                0.23254,                 1.1912,                0.67254,                0.97212,               0.009109,               0.009109,               0.009109
                     11,                 1.2509,                0.77659,                 1.0056,                0.64919,                0.36445,                 0.3983,                0.23534,                 1.1888,                0.66994,                0.97073,                0.00901,                0.00901,                0.00901
