                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.5101,                 1.5518,                 1.0712,                0.57376,                0.25208,                0.25057,                0.13972,                 1.4111,                 1.0619,                 1.0295,               0.070055,              0.0033272,              0.0033272
                      1,                  1.437,                 1.0784,                 1.0334,                0.54824,                0.28731,                0.28722,                0.15449,                 1.3951,                0.99339,                 1.0052,               0.039942,              0.0065473,              0.0065473
                      2,                 1.4327,                  1.025,                 1.0263,                0.39296,                0.24892,                0.23356,                0.11645,                 1.4906,                 1.1154,                 1.0411,              0.0097151,              0.0096541,              0.0096541
                      3,                 1.4156,                0.98284,                 1.0229,                0.43698,                0.29974,                0.30621,                0.16316,                  1.376,                0.94569,                 1.0041,                0.00949,                0.00949,                0.00949
                      4,                 1.3822,                0.93467,                 1.0115,                 0.4822,                0.32163,                 0.3387,                0.18113,                 1.3464,                0.88444,                0.98759,                0.00949,                0.00949,                0.00949
                      5,                 1.3608,                0.90597,                 1.0041,                0.47734,                0.33436,                 0.3511,                0.19045,                  1.317,                0.84626,                0.98024,                0.00932,                0.00932,                0.00932
                      6,                  1.347,                0.88675,                0.99864,                0.49651,                0.33214,                0.35657,                0.19386,                 1.3106,                0.83773,                0.96914,                0.00915,                0.00915,                0.00915
                      7,                 1.3343,                0.87184,                 0.9942,                 0.6102,                0.34163,                0.37142,                0.20284,                 1.3005,                0.82786,                0.97417,                0.00898,                0.00898,                0.00898
                      8,                 1.3272,                0.86313,                0.99212,                0.50412,                0.35553,                 0.3821,                0.21135,                 1.2822,                0.80872,                0.96358,                0.00881,                0.00881,                0.00881
                      9,                  1.319,                0.85361,                0.98796,                0.52377,                0.36367,                0.39721,                0.21964,                 1.2713,                0.78285,                0.95855,                0.00864,                0.00864,                0.00864
                     10,                 1.3144,                0.84682,                 0.9867,                0.51899,                0.36112,                0.39245,                0.21696,                 1.2687,                0.78485,                0.95967,                0.00847,                0.00847,                0.00847
                     11,                 1.3098,                0.84051,                0.98509,                0.53636,                0.37521,                0.40794,                0.22558,                 1.2546,                0.76572,                0.95522,                 0.0083,                 0.0083,                 0.0083
                     12,                 1.3046,                0.83582,                0.98342,                0.63141,                0.38051,                0.41212,                0.22737,                 1.2564,                0.76223,                0.95342,                0.00813,                0.00813,                0.00813
                     13,                 1.3026,                0.83116,                0.98179,                0.62699,                0.38202,                0.41324,                0.22951,                 1.2467,                0.75305,                0.95222,                0.00796,                0.00796,                0.00796
                     14,                 1.2963,                0.82607,                0.98024,                0.64624,                0.37988,                0.41747,                 0.2323,                 1.2419,                0.74677,                0.95005,                0.00779,                0.00779,                0.00779
                     15,                 1.2932,                0.82256,                0.97866,                0.65261,                0.38696,                0.42479,                0.23828,                 1.2372,                0.74022,                0.94846,                0.00762,                0.00762,                0.00762
                     16,                 1.2897,                0.81736,                0.97745,                0.65403,                0.39238,                0.42998,                0.24163,                  1.233,                0.73548,                0.94686,                0.00745,                0.00745,                0.00745
                     17,                 1.2883,                0.81442,                0.97611,                0.65094,                0.39319,                0.43393,                0.24319,                 1.2298,                0.73075,                0.94516,                0.00728,                0.00728,                0.00728
                     18,                 1.2832,                0.81188,                 0.9747,                0.66825,                0.39203,                0.43434,                0.24442,                 1.2251,                0.72749,                0.94392,                0.00711,                0.00711,                0.00711
                     19,                 1.2827,                0.81025,                0.97445,                0.65463,                0.40257,                0.43891,                0.24695,                 1.2237,                0.72471,                0.94285,                0.00694,                0.00694,                0.00694
                     20,                 1.2805,                0.80742,                 0.9735,                  0.664,                0.39822,                0.44077,                 0.2477,                 1.2216,                0.72202,                0.94248,                0.00677,                0.00677,                0.00677
                     21,                 1.2774,                0.80297,                0.97183,                0.66201,                0.40138,                0.44222,                0.24908,                 1.2196,                0.71975,                 0.9408,                 0.0066,                 0.0066,                 0.0066
                     22,                 1.2766,                0.80251,                0.97187,                0.56407,                0.40552,                0.44391,                0.25073,                 1.2182,                 0.7172,                0.94009,                0.00643,                0.00643,                0.00643
                     23,                 1.2741,                 0.8006,                0.97138,                0.56064,                0.40591,                0.44407,                0.25067,                 1.2175,                0.71558,                0.93995,                0.00626,                0.00626,                0.00626
                     24,                 1.2721,                0.79729,                0.97026,                0.65635,                0.40908,                0.44654,                0.25177,                 1.2154,                0.71279,                 0.9391,                0.00609,                0.00609,                0.00609
                     25,                 1.2699,                0.79493,                0.96929,                0.67203,                0.40506,                 0.4473,                0.25232,                 1.2148,                0.71194,                0.93887,                0.00592,                0.00592,                0.00592
                     26,                 1.2663,                 0.7928,                0.96845,                0.66441,                0.40917,                0.44934,                0.25336,                  1.214,                0.71082,                 0.9384,                0.00575,                0.00575,                0.00575
                     27,                 1.2669,                0.79177,                0.96778,                0.66326,                0.41038,                0.45041,                0.25385,                 1.2129,                 0.7094,                0.93765,                0.00558,                0.00558,                0.00558
                     28,                 1.2641,                0.78931,                0.96694,                 0.6671,                0.40964,                0.45145,                0.25514,                  1.212,                0.70848,                0.93704,                0.00541,                0.00541,                0.00541
                     29,                 1.2635,                0.78814,                0.96666,                0.67137,                0.40796,                0.45222,                0.25596,                 1.2111,                0.70734,                0.93673,                0.00524,                0.00524,                0.00524
                     30,                  1.261,                0.78536,                0.96555,                0.66703,                0.40892,                 0.4524,                 0.2562,                 1.2107,                0.70667,                 0.9365,                0.00507,                0.00507,                0.00507
                     31,                 1.2582,                0.78306,                0.96548,                0.67195,                0.40891,                0.45346,                0.25668,                   1.21,                0.70606,                0.93632,                 0.0049,                 0.0049,                 0.0049
                     32,                 1.2563,                0.78137,                0.96386,                0.67146,                0.41063,                0.45378,                0.25706,                 1.2096,                0.70543,                0.93603,                0.00473,                0.00473,                0.00473
                     33,                 1.2519,                  0.778,                 0.9631,                0.67603,                0.40964,                0.45456,                0.25775,                 1.2091,                0.70493,                0.93585,                0.00456,                0.00456,                0.00456
                     34,                 1.2547,                0.77803,                0.96277,                0.67974,                0.40892,                0.45514,                0.25813,                 1.2086,                0.70422,                0.93555,                0.00439,                0.00439,                0.00439
                     35,                 1.2516,                0.77452,                0.96124,                0.67973,                0.40991,                0.45579,                0.25848,                 1.2081,                0.70367,                0.93533,                0.00422,                0.00422,                0.00422
                     36,                 1.2516,                0.77333,                0.96203,                0.68045,                0.41006,                0.45615,                0.25889,                 1.2076,                0.70311,                0.93514,                0.00405,                0.00405,                0.00405
                     37,                 1.2453,                 0.7694,                0.96027,                0.68362,                0.41011,                0.45645,                0.25914,                 1.2072,                0.70287,                0.93495,                0.00388,                0.00388,                0.00388
                     38,                 1.2442,                0.76729,                0.96032,                0.68372,                0.41074,                0.45696,                 0.2596,                 1.2068,                0.70243,                0.93474,                0.00371,                0.00371,                0.00371
                     39,                 1.2436,                 0.7655,                0.95922,                0.68203,                0.41147,                0.45744,                0.26003,                 1.2064,                0.70199,                0.93462,                0.00354,                0.00354,                0.00354
                     40,                 1.2772,                0.76921,                0.96269,                0.68273,                0.41084,                0.45783,                0.26005,                 1.2061,                0.70187,                0.93443,                0.00337,                0.00337,                0.00337
                     41,                 1.2748,                0.76555,                0.96199,                0.68179,                0.41176,                0.45767,                0.26024,                 1.2058,                0.70174,                0.93422,                 0.0032,                 0.0032,                 0.0032
                     42,                  1.271,                0.76213,                0.96048,                 0.6823,                0.41093,                0.45835,                0.26061,                 1.2055,                0.70152,                0.93397,                0.00303,                0.00303,                0.00303
                     43,                 1.2692,                0.75841,                0.95936,                0.68362,                   0.41,                0.45813,                0.26055,                 1.2051,                0.70136,                0.93385,                0.00286,                0.00286,                0.00286
                     44,                 1.2665,                0.75601,                0.95878,                 0.6821,                0.41101,                0.45845,                 0.2609,                 1.2049,                 0.7014,                 0.9337,                0.00269,                0.00269,                0.00269
                     45,                 1.2652,                0.75275,                0.95835,                0.68106,                0.41132,                0.45849,                0.26133,                 1.2044,                0.70129,                 0.9335,                0.00252,                0.00252,                0.00252
                     46,                 1.2617,                0.75094,                 0.9576,                0.68242,                0.41172,                0.45882,                0.26162,                 1.2041,                0.70146,                 0.9333,                0.00235,                0.00235,                0.00235
                     47,                 1.2584,                0.74739,                0.95584,                 0.6843,                0.41028,                0.45923,                0.26189,                 1.2037,                0.70158,                0.93312,                0.00218,                0.00218,                0.00218
                     48,                 1.2558,                0.74371,                 0.9552,                 0.6823,                0.41009,                0.45926,                0.26195,                 1.2033,                0.70178,                0.93294,                0.00201,                0.00201,                0.00201
                     49,                  1.253,                0.74008,                0.95436,                0.68339,                0.40882,                0.45935,                 0.2621,                 1.2028,                 0.7019,                0.93276,                0.00184,                0.00184,                0.00184
