                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                   1.44,                  1.355,                  1.062,                0.36253,                0.24872,                0.23917,                0.13632,                 1.3731,                0.96139,                 1.0285,               0.070027,              0.0033303,              0.0033303
                      1,                 1.3859,                0.97547,                  1.042,                0.36174,                0.25892,                0.24939,                0.14171,                 1.3572,                0.90778,                 1.0288,               0.039368,              0.0060039,              0.0060039
                      2,                 1.4016,                0.95258,                  1.055,                0.33905,                 0.2416,                0.22954,                0.12589,                 1.3803,                  0.977,                 1.0467,               0.008048,              0.0080176,              0.0080176
                      3,                 1.3855,                0.91074,                 1.0521,                0.37835,                0.26376,                0.25694,                0.14396,                 1.3647,                0.88287,                 1.0413,                0.00703,                0.00703,                0.00703
                      4,                 1.3526,                0.86535,                 1.0392,                0.40927,                0.29842,                0.29734,                0.17162,                 1.2878,                0.79352,                 1.0058,                0.00703,                0.00703,                0.00703
                      5,                 1.3243,                 0.8278,                 1.0288,                0.58887,                0.31454,                0.33121,                 0.1916,                  1.255,                0.75569,                0.99279,                0.00604,                0.00604,                0.00604
                      6,                 1.3028,                0.80108,                  1.019,                0.58739,                0.32689,                0.34493,                0.19933,                 1.2413,                0.73753,                0.98758,                0.00505,                0.00505,                0.00505
                      7,                 1.2854,                0.77969,                  1.011,                0.61557,                0.33888,                0.36633,                0.21337,                 1.2223,                0.71648,                0.97973,                0.00406,                0.00406,                0.00406
                      8,                 1.2672,                0.76037,                 1.0036,                0.63213,                0.34069,                0.37399,                0.21846,                  1.209,                0.70142,                0.97261,                0.00307,                0.00307,                0.00307
                      9,                 1.2513,                0.73969,                 0.9958,                0.64451,                0.35297,                 0.3843,                0.22556,                 1.2029,                0.69159,                0.96921,                0.00208,                0.00208,                0.00208
